detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-9.943067,-31.817255,190.8,195.5,186.0
0.0686927083333333,CONI,-13.521494,-47.39506,406.8,423.2,390.5
0.1373854166666666,CONI,-14.748277,-47.202496,403.9,419.7,388.1
0.206078125,CONI,-10.916101,-45.220066,374.3,385.7,362.9
0.2747708333333333,CONI,-4.9746437,-25.316124,124.1,128.2,120.0
0.3434635416666667,CONI,18.353703,-7.5681877,27.3,31.9,22.8
0.41215625,CONI,11.066317,-8.153282,29.0,33.6,24.4
0.4808489583333333,CONI,-5.1513495,-3.1035779,17.2,21.1,13.3
0.5495416666666667,CONI,-9.765777,-29.899538,169.4,173.8,165.0
0.618234375,CONI,-12.711008,-37.972317,270.0,275.9,264.2
0.6869270833333334,CONI,-13.816501,-41.84468,324.1,331.3,316.9
0.7556197916666667,CONI,-10.793543,-43.92338,355.0,364.4,345.7
0.8243125,CONI,-7.646492,-29.493233,165.1,169.4,160.8
