detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-10.425712,-25.504425,125.9,129.9,121.8
0.0686927083333333,CONI,-14.17996,-49.83632,441.6,465.7,417.6
0.1373854166666666,CONI,-14.954907,-50.25171,448.7,474.7,422.8
0.206078125,CONI,-14.858438,-51.363106,464.1,494.6,433.6
0.2747708333333333,CONI,-15.007604,-49.678745,440.2,463.9,416.5
0.3434635416666667,CONI,-12.8059845,-47.76191,412.7,430.2,395.2
0.41215625,CONI,-11.025493,-51.06971,459.9,489.2,430.7
0.4808489583333333,CONI,-1.3365519,-29.112186,160.9,165.1,156.6
0.5495416666666667,CONI,-1.0501251,-29.81298,168.3,172.7,164.0
0.618234375,CONI,-12.116032,-22.614899,101.7,106.0,97.5
0.6869270833333334,CONI,-13.945565,-32.923477,203.8,208.7,198.9
0.7556197916666667,CONI,-11.509347,-43.910133,355.0,364.4,345.7
0.8243125,CONI,-7.9536695,-26.536589,135.0,139.1,130.9
