detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-10.19054,-32.042805,193.1,197.9,188.3
0.0686927083333333,CONI,-13.6021595,-51.533627,465.5,496.4,434.5
0.1373854166666666,CONI,-14.497637,-51.02142,458.6,487.3,429.8
0.206078125,CONI,-12.02319,-50.6929,454.4,481.9,426.8
0.2747708333333333,CONI,-7.8926806,-42.42863,332.9,340.6,325.3
0.3434635416666667,CONI,1.0855455,-30.201948,172.7,177.1,168.2
0.41215625,CONI,-3.4606366,-30.663748,178.2,182.7,173.7
0.4808489583333333,CONI,-12.725425,-25.629957,126.8,130.8,122.7
0.5495416666666667,CONI,-14.842477,-42.11254,328.5,336.0,321.1
0.618234375,CONI,-15.800068,-47.69262,411.2,428.4,394.0
0.6869270833333334,CONI,-15.2855215,-49.073864,431.6,453.2,410.0
0.7556197916666667,CONI,-11.729756,-48.430695,421.5,440.7,402.2
0.8243125,CONI,-8.164079,-34.509098,223.6,228.9,218.4
