detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-4.502018,-23.929197,112.1,116.3,108.0
0.0686927083333333,CONI,-6.255891,-30.435604,174.9,179.3,170.4
0.1373854166666666,CONI,-7.146722,-25.264433,124.1,128.2,120.0
0.206078125,CONI,-9.289967,-25.387321,125.0,129.0,120.9
0.2747708333333333,CONI,-11.224583,12.015484,2.9,4.3,1.4
0.3434635416666667,CONI,-3.4684334,19.181107,1.1,1.8,0.4
0.41215625,CONI,-2.1602638,19.507158,1.0,1.7,0.3
0.4808489583333333,CONI,-9.533686,22.624758,0.7,1.1,0.2
0.5495416666666667,CONI,-10.120166,2.8808389,8.8,11.6,6.0
0.618234375,CONI,-9.248262,-26.627563,136.0,140.0,131.9
0.6869270833333334,CONI,-8.241336,-27.43725,143.6,147.7,139.5
0.7556197916666667,CONI,-6.6692944,-25.427256,125.0,129.0,120.9
0.8243125,CONI,-4.5917645,-24.31826,115.4,119.6,111.3
