detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-10.088934,-32.364944,197.8,202.7,193.0
0.0686927083333333,CONI,-13.487562,-48.38585,421.5,440.7,402.2
0.1373854166666666,CONI,-14.557659,-50.91336,457.2,485.5,428.8
0.206078125,CONI,-14.918184,-50.91822,457.2,485.5,428.8
0.2747708333333333,CONI,-14.817935,-49.22902,433.0,454.9,411.1
0.3434635416666667,CONI,-14.537234,-50.032925,444.5,469.3,419.7
0.41215625,CONI,-14.502868,-49.818542,441.6,465.7,417.6
0.4808489583333333,CONI,-14.350182,-49.32674,434.5,456.7,412.2
0.5495416666666667,CONI,-12.446077,-50.5869,453.0,480.1,425.8
0.618234375,CONI,-10.702364,-50.149387,445.9,471.1,420.7
0.6869270833333334,CONI,-3.0075464,-32.478855,199.0,203.9,194.1
0.7556197916666667,CONI,2.3872166,-33.41424,209.9,214.9,204.8
0.8243125,CONI,-5.580842,-27.168358,141.7,145.8,137.6
