detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
0.0,CONI,-10.627957,-32.2245,195.4,200.3,190.6
0.0686927083333333,CONI,-14.389002,-50.05343,445.9,471.1,420.7
0.1373854166666666,CONI,-15.278637,-49.39877,435.9,458.5,413.3
0.206078125,CONI,-13.069584,-48.745975,425.8,446.1,405.6
0.2747708333333333,CONI,-10.293638,-48.55753,424.4,444.3,404.5
0.3434635416666667,CONI,0.21782982,-26.707653,136.9,141.0,132.8
0.41215625,CONI,2.152268,-27.649765,145.6,149.7,141.5
0.4808489583333333,CONI,-11.256141,-24.129284,113.8,117.9,109.6
0.5495416666666667,CONI,-13.389927,-26.658403,136.9,141.0,132.8
0.618234375,CONI,-14.693891,-47.2032,403.9,419.7,388.1
0.6869270833333334,CONI,-15.0679245,-44.7488,366.9,377.4,356.4
0.7556197916666667,CONI,-11.352779,-48.583366,424.4,444.3,404.5
0.8243125,CONI,-8.015538,-33.12758,206.2,211.2,201.2
