detection_window_start_time,detector_score,relative_sound_level
0.0,-10.73951,-31.7085
0.06752604166666666,-14.535244,-36.23191
0.13505208333333332,-15.368362,-51.62298
0.202578125,-15.44717,-50.57264
0.27010416666666665,-15.023362,-49.515003
0.3376302083333333,-14.953873,-51.231457
0.40515625,-15.132786,-49.627457
0.47268229166666664,-15.196228,-48.435226
0.5402083333333333,-14.986941,-51.65733
0.6077343749999999,-14.846678,-49.294735
0.6752604166666666,-12.998865,-49.86377
0.7427864583333332,-9.99683,-38.700115
0.8103125,-2.2026405,-32.182014
