detection_window_start_time,detector_score,relative_sound_level
0.0,-11.06107,-34.78164
0.06908333333333333,-14.569072,-52.46776
0.13816666666666666,-15.02835,-41.680084
0.20725,-14.03425,-36.46989
0.2763333333333333,-8.016884,-43.78523
0.34541666666666665,-1.719888,-30.289022
0.4145,3.9914284,-29.314554
0.4835833333333333,-8.74773,-29.145538
0.5526666666666666,-11.830999,-29.69035
0.62175,-13.561462,-43.856262
0.6908333333333333,-14.691089,-43.348915
0.7599166666666666,-11.526867,-45.84406
0.829,-8.1587515,-42.947105
