detection_window_start_time,detector_score,relative_sound_level
0.0,-10.003975,-32.49676
0.06449038461538462,-13.1343355,-49.78922
0.12898076923076923,-15.623506,-50.91259
0.19347115384615385,-15.677502,-49.647285
0.25796153846153846,-15.623253,-48.74249
0.32245192307692305,-15.689448,-48.70778
0.3869423076923077,-15.689827,-49.105736
0.45143269230769234,-15.371971,-47.971077
0.5159230769230769,-14.884608,-45.140526
0.5804134615384615,-14.869672,-47.521862
0.6449038461538461,-14.709195,-46.432472
0.7093942307692308,-12.929846,-45.566544
0.7738846153846154,-9.362629,-48.245056
0.838375,-6.7602854,-35.966522
