detection_window_start_time,detector_score,relative_sound_level
0.0,3.521557,-21.80145
0.06596875,-2.214038,-24.247746
0.1319375,-9.827839,-29.196766
0.19790625,-9.051937,-35.9197
0.263875,-8.970247,-39.75559
0.32984375000000005,-4.1179543,-29.145601
0.3958125,-2.3256278,-27.104958
0.46178125000000003,-9.465242,-24.731659
0.52775,-11.487461,-39.84057
0.5937187500000001,-12.903491,-40.40416
0.6596875000000001,-12.655734,-42.585907
0.7256562500000001,-9.297951,-41.175503
0.791625,-6.5354195,-43.137344
