detection_window_start_time,detector_score,relative_sound_level
0.0,-9.9534025,-34.03926
0.06791666666666667,-13.431037,-51.150364
0.13583333333333333,-14.774803,-49.77771
0.20375,-11.909728,-48.148224
0.27166666666666667,-8.576361,-33.254887
0.33958333333333335,1.331989,-32.05459
0.4075,-1.6344192,-28.32687
0.47541666666666665,-10.328143,-27.859196
0.5433333333333333,-12.154575,-37.945293
0.61125,-9.2277975,-41.318848
0.6791666666666667,-2.6158943,-31.598705
0.7470833333333333,14.604092,-10.409093
0.815,16.943068,-10.225267
