detection_window_start_time,detector_score,relative_sound_level
0.0,-10.367581,-34.953148
0.06869270833333334,-13.4857235,-51.083065
0.13738541666666668,-12.183222,-42.22222
0.206078125,-9.860956,-42.379154
0.27477083333333335,-13.695414,-39.148346
0.3434635416666667,-13.317174,-40.84587
0.41215625,-13.649836,-41.853176
0.48084895833333335,-13.662628,-39.478565
0.5495416666666667,-14.103815,-43.17103
0.618234375,-14.504154,-45.587193
0.6869270833333334,-14.974812,-43.80405
0.7556197916666667,-11.564539,-40.544262
0.8243125,-7.984872,-34.043785
