detection_window_start_time,detector_score,relative_sound_level
0.0,-9.342118,-32.674168
0.06830729166666667,-12.939167,-46.473446
0.13661458333333334,-14.396088,-44.043755
0.20492187500000003,-14.488751,-44.048683
0.2732291666666667,-15.149925,-46.151955
0.34153645833333335,-15.217675,-45.763897
0.40984375000000006,-13.570435,-44.794598
0.4781510416666667,-15.1231365,-40.67484
0.5464583333333334,-15.178663,-41.334106
0.6147656250000001,-15.8135195,-52.127747
0.6830729166666667,-15.805529,-51.393867
0.7513802083333334,-11.886251,-51.577343
0.8196875,-8.504412,-50.907967
