detection_window_start_time,detector_score,relative_sound_level
0.0,-10.058125,-29.625023
0.06908333333333333,-13.784419,-51.059067
0.13816666666666666,-15.078711,-47.640503
0.20725,-14.924794,-46.648987
0.2763333333333333,-14.812098,-48.415718
0.34541666666666665,-14.868857,-50.225403
0.4145,-14.309342,-50.51123
0.4835833333333333,-14.705004,-50.970978
0.5526666666666666,-14.523195,-49.3338
0.62175,-14.8214,-49.468994
0.6908333333333333,-14.77091,-49.99337
0.7599166666666666,-11.408589,-50.894848
0.829,-8.024204,-40.47931
