detection_window_start_time,detector_score,relative_sound_level
0.0,-8.608699,-34.422794
0.06869270833333334,-11.523613,-41.991623
0.13738541666666668,-11.473474,-36.983353
0.206078125,-9.10655,-39.73392
0.27477083333333335,-10.823333,-36.49204
0.3434635416666667,-9.353023,-33.908394
0.41215625,-9.624786,-34.762287
0.48084895833333335,-11.176073,-31.850994
0.5495416666666667,-12.5644245,-35.145206
0.618234375,-13.840388,-40.58084
0.6869270833333334,-14.444408,-41.631805
0.7556197916666667,-11.760425,-44.703293
0.8243125,-8.479673,-33.162727
